iter	MAE
0	0.5525141922
1	0.5457
2	0.5410814063
3	0.5365198874
4	0.5319803443
5	0.5254386989
6	0.5191720366
7	0.5132814121
8	0.5086870093
9	0.5033542006
10	0.4993838377
11	0.4945522132
12	0.4891959427
13	0.4854427428
14	0.4819700149
15	0.4769606979
16	0.4725508238
17	0.4685778759
18	0.4655371441
19	0.4613777623
20	0.4570579668
21	0.4536182962
22	0.4495494506
23	0.4456858202
24	0.4417056293
25	0.4381593054
26	0.4345728322
27	0.4317158016
28	0.429185751
29	0.4264073782
30	0.4233319328
31	0.4198967371
32	0.4176471175
33	0.4156965088
34	0.4140275429
35	0.4117056446
36	0.4090547036
37	0.4073533306
38	0.4058315194
39	0.4040884321
40	0.4027477552
41	0.4017769974
42	0.4005691623
43	0.399366951
44	0.3982579808
45	0.3969334217
46	0.3960869469
47	0.3952667328
48	0.394501604
49	0.3938372125
50	0.3929544427
51	0.3922502197
52	0.3915598892
53	0.3908765587
54	0.3900824915
55	0.3892890551
56	0.3884883318
57	0.3876102019
58	0.3870930267
59	0.3864891206
60	0.3858656511
61	0.3853741815
62	0.3846198525
63	0.3841017202
64	0.3835577415
65	0.3829484679
66	0.3824611726
67	0.3820062887
68	0.3815358057
69	0.3811115033
70	0.3806897237
71	0.3801992286
72	0.3797250702
73	0.3792936346
74	0.3788752383
75	0.378512003
76	0.3781624192
77	0.3778255359
78	0.377442539
79	0.3771467499
80	0.376782317
81	0.3765217025
82	0.3762025262
83	0.3758463887
84	0.3755409994
85	0.3752611966
86	0.3750010982
87	0.3747473712
88	0.3744641239
89	0.3742790284
90	0.374102925
91	0.3738816818
92	0.3736344009
93	0.3734084294
94	0.3731687542
95	0.3730610335
96	0.3728132016
97	0.3726007544
98	0.3724641647
99	0.3722636166
100	0.3721003413
101	0.3719127054
102	0.3717977921
103	0.3716108211
104	0.371431444
105	0.3712687298
106	0.371149531
107	0.3709637879
108	0.3708293077
109	0.3707165119
110	0.3705807635
111	0.3704680095
112	0.3703373959
113	0.3702051276
114	0.3700808506
115	0.3699089654
116	0.3698004249
117	0.3697108947
118	0.3695810547
119	0.369473707
120	0.3693314351
121	0.3691784551
122	0.3690248371
123	0.3689718139
124	0.3689085172
125	0.3687713958
126	0.3686809451
127	0.3685601104
128	0.3684499136
129	0.3683755212
130	0.3683121745
131	0.3682337338
132	0.3680705693
133	0.3680177873
134	0.367958053
135	0.3678562391
136	0.3678039868
137	0.3676966629
138	0.3675618143
139	0.36749951
140	0.3674180418
141	0.3673049886
142	0.367241743
143	0.3671854675
144	0.3671120312
145	0.3670253428
146	0.3669369847
147	0.3668182756
148	0.3667500987
149	0.3667037148
150	0.3666448871
151	0.3665877069
152	0.3665204338
153	0.3664365297
154	0.3663737463
155	0.3663107928
156	0.3662308576
157	0.3661911327
158	0.366095699
159	0.3660325459
160	0.3659745993
161	0.3659124485
162	0.3658748131
163	0.3658046277
164	0.3657770026
165	0.365694524
166	0.3656437154
167	0.3655836449
168	0.3654819556
169	0.3654342171
170	0.3653487295
171	0.3652905857
172	0.3652411323
173	0.3651987986
174	0.3651575735
175	0.365075845
176	0.3650095527
177	0.3649767064
178	0.3649377864
179	0.3648947633
180	0.3648624947
181	0.3648311753
182	0.3648001311
183	0.3647215609
184	0.3646381291
185	0.3646186779
186	0.3645838645
187	0.3645527951
188	0.3645247467
189	0.3644633062
190	0.3644233193
191	0.36435027
192	0.3642754538
193	0.3642240309
194	0.364135969
195	0.3640907593
196	0.3639777127
197	0.3639043374
198	0.3638769533
199	0.3638533814
200	0.3638249069
201	0.3637582169
202	0.3637242374
203	0.3636393786
204	0.3636057781
205	0.3635124274
206	0.36347566
207	0.3634576708
208	0.3634196757
209	0.363406651
210	0.3633649626
211	0.3633426851
212	0.3632566637
213	0.3632223574
214	0.3631930165
215	0.3631551646
216	0.3630848225
217	0.3630600984
218	0.3630166666
