iter	Passed	Remaining
0	2	23994
1	3	19367
2	4	15691
3	5	13721
4	6	12528
5	7	11847
6	7	11300
7	8	11000
8	9	10671
9	10	10387
10	11	10156
11	11	9984
12	12	9790
13	13	9742
14	14	9617
15	15	9539
16	16	9408
17	17	9431
18	17	9332
19	18	9244
20	19	9151
21	20	9079
22	20	8983
23	21	8914
24	22	8844
25	23	8834
26	23	8780
27	24	8732
28	25	8663
29	25	8612
30	26	8558
31	27	8508
32	28	8465
33	28	8431
34	29	8393
35	30	8351
36	30	8319
37	31	8332
38	32	8309
39	33	8290
40	34	8262
41	34	8294
42	35	8277
43	36	8248
44	37	8224
45	37	8195
46	38	8243
47	39	8250
48	40	8248
49	41	8246
50	42	8241
51	43	8230
52	43	8210
53	44	8202
54	45	8204
55	46	8187
56	46	8178
57	47	8158
58	48	8150
59	49	8147
60	49	8138
61	50	8122
62	51	8097
63	52	8082
64	52	8061
65	53	8052
66	54	8043
67	54	8025
68	55	8012
69	56	7999
70	57	7983
71	57	7978
72	58	7985
73	59	7975
74	60	7965
75	60	7951
76	61	7940
77	62	7961
78	63	7952
79	64	7941
80	64	7931
81	65	7917
82	66	7925
83	67	7922
84	67	7913
85	68	7899
86	69	7890
87	70	7884
88	70	7876
89	71	7869
90	72	7867
91	73	7883
92	74	7891
93	74	7883
94	75	7878
95	76	7870
96	77	7861
97	77	7871
98	78	7864
99	79	7861
100	80	7855
101	80	7849
102	81	7848
103	82	7852
104	83	7846
105	83	7838
106	84	7831
107	85	7822
108	86	7809
109	86	7802
110	87	7801
111	88	7805
112	89	7803
113	90	7810
114	90	7813
115	91	7807
116	92	7815
117	93	7819
118	94	7811
119	94	7802
120	95	7794
121	96	7795
122	97	7808
123	98	7807
124	98	7802
125	99	7796
126	100	7791
127	100	7783
128	101	7777
129	102	7782
130	103	7782
131	104	7796
132	105	7795
133	105	7788
134	106	7780
135	107	7777
136	108	7775
137	108	7771
138	109	7765
139	110	7764
140	111	7766
141	111	7763
142	112	7760
143	113	7756
144	114	7757
145	115	7762
146	115	7758
147	116	7753
148	117	7758
149	118	7752
150	119	7769
151	119	7765
152	120	7768
153	121	7766
154	122	7760
155	122	7752
156	123	7743
157	124	7733
158	124	7724
159	125	7719
160	126	7714
161	126	7708
162	127	7700
163	129	7779
164	130	7784
165	131	7786
166	132	7786
167	132	7782
168	133	7777
169	134	7785
170	135	7788
171	136	7795
172	137	7788
173	137	7780
174	138	7773
175	139	7769
176	139	7765
177	140	7778
178	141	7774
179	142	7767
180	143	7763
181	143	7766
182	144	7762
183	145	7760
184	146	7764
185	147	7769
186	148	7766
187	148	7762
188	149	7764
189	150	7762
190	151	7756
191	151	7755
192	152	7751
193	153	7754
194	154	7746
195	154	7742
196	155	7737
197	156	7739
198	157	7739
199	157	7738
200	158	7736
201	159	7738
202	160	7733
203	160	7728
204	161	7728
205	162	7723
206	163	7721
207	163	7718
208	164	7717
209	165	7714
210	166	7711
211	167	7712
212	167	7709
213	168	7705
214	169	7706
215	170	7703
216	171	7728
217	172	7725
218	172	7721
219	173	7730
220	174	7730
221	175	7744
222	176	7745
223	177	7740
224	178	7741
225	178	7737
226	179	7735
227	180	7735
228	181	7731
